movie_id,title
1593,Everest (1998)
1537,All Over Me (1997)
1122,"Last Time I Saw Paris, The (1954)"
1555,Condition Red (1995)
1358,Boys in Venice (1996)
711,Tin Men (1987)
1201,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)"
1420,My Crazy Life (Mi vida loca) (1993)
1548,Dream Man (1995)
1530,Far From Home: The Adventures of Yellow Dog (1995)
1519,"Fear, The (1995)"
1564,Daens (1992)
1580,"Woman in Question, The (1950)"
1579,Liebelei (1933)
1577,"Collectionneuse, La (1967)"
1576,"Death in the Garden (Mort en ce jardin, La) (1956)"
1559,Clean Slate (Coup de Torchon) (1981)
1574,"I, Worst of All (Yo, la peor de todas) (1990)"
1546,"Show, The (1995)"
1581,T-Men (1947)
1571,Wend Kuuni (God's Gift) (1982)
1570,Touki Bouki (Journey of the Hyena) (1973)
1569,Quartier Mozart (1992)
1567,Vermont Is For Lovers (1992)
1027,Grumpier Old Men (1995)
1566,Careful (1992)
1565,"Man from Down Under, The (1943)"
1582,"Invitation, The (Zaproszenie) (1986)"
1584,American Dream (1990)
1562,"Promise, The (Versprechen, Das) (1994)"
1561,"Eye of Vichy, The (Oeil de Vichy, L') (1993)"
1586,Terror in a Texas Town (1958)
1557,Aparajito (1956)
1583,"Symphonie pastorale, La (1946)"
1422,"Walking Dead, The (1995)"
1536,Cosi (1996)
1599,Guantanamera (1994)
1125,"Old Man and the Sea, The (1958)"
1619,"Sixth Man, The (1997)"
851,"Bloody Child, The (1996)"
1468,Tom and Huck (1995)
1654,"Favor, The (1994)"
1454,"Outlaw, The (1943)"
1353,Venice/Venice (1992)
1464,Last Summer in the Hamptons (1995)
1156,"Relic, The (1997)"
1200,Marlene Dietrich: Shadow and Light (1996) 
1396,Of Human Bondage (1934)
1526,Senseless (1998)
1104,Firestorm (1998)
