movie_id,title
1653,Entertaining Angels: The Dorothy Day Story (1996)
1122,They Made Me a Criminal (1939)
1201,Marlene Dietrich: Shadow and Light (1996) 
1189,Prefontaine (1997)
1293,Star Kid (1997)
1536,Aiqing wansui (1994)
814,"Great Day in Harlem, A (1994)"
1599,Someone Else's America (1995)
1467,"Saint of Fort Washington, The (1993)"
1500,Santa with Muscles (1996)
1594,Everest (1998)
1449,Pather Panchali (1955)
1398,Anna (1996)
119,Maya Lin: A Strong Clear Vision (1994)
318,Schindler's List (1993)
64,"Shawshank Redemption, The (1994)"
169,"Wrong Trousers, The (1993)"
483,Casablanca (1942)
114,Wallace & Gromit: The Best of Aardman Animation (1996)
1642,Some Mother's Son (1996)
408,"Close Shave, A (1995)"
603,Rear Window (1954)
12,"Usual Suspects, The (1995)"
963,Some Folks Call It a Sling Blade (1993)
178,12 Angry Men (1957)
98,"Silence of the Lambs, The (1991)"
427,To Kill a Mockingbird (1962)
513,"Third Man, The (1949)"
357,One Flew Over the Cuckoo's Nest (1975)
851,Two or Three Things I Know About Her (1966)
515,"Boot, Das (1981)"
134,Citizen Kane (1941)
511,Lawrence of Arabia (1962)
657,"Manchurian Candidate, The (1962)"
923,Raise the Red Lantern (1991)
174,Raiders of the Lost Ark (1981)
187,"Godfather: Part II, The (1974)"
1064,Crossfire (1947)
170,Cinema Paradiso (1988)
479,Vertigo (1958)
480,North by Northwest (1959)
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
528,"Killing Fields, The (1984)"
488,Sunset Blvd. (1950)
223,Sling Blade (1996)
172,"Empire Strikes Back, The (1980)"
484,"Maltese Falcon, The (1941)"
654,Chinatown (1974)
498,"African Queen, The (1951)"
191,Amadeus (1984)
