"일련번호","지역구","제목","내용","대상","종목","일시","장소","참가규모(명)","수혜기관명","주소","전화번호","기관 홈페이지"
"6739","강동","일반체육활동사업","유아체육","유아","유아체육","금 13:30~14:10","구립한마을어린이집","20명","구립한마을어린이집","서울특별시 강동구 상암로81길 14 (상일동337-4)","02-426-1603",""
"6738","강동","일반체육활동사업","유아체육","유아","유아체육","금 10:50~11:30","구립한마을어린이집","20명","구립한마을어린이집","서울특별시 강동구 상암로81길 14 (상일동337-3)","02-426-1603",""
"6737","강동","일반체육활동사업","유아체육","유아","유아체육","금 10:00~10:40","구립한마을어린이집","20명","구립한마을어린이집","서울특별시 강동구 상암로81길 14 (상일동337-2)","02-426-1603",""
"6736","강동","일반체육활동사업","유아체육","유아","유아체육","목 15:50~16:40","구립가람슬기어린이집","20명","구립가람슬기어린이집","서울특별시 강동구 올림픽로98가길 12-19","02-6012-8960",""
"6735","강동","일반체육활동사업","유아체육","유아","유아체육","목 14:50~15:40","구립가람슬기어린이집","20명","구립가람슬기어린이집","서울특별시 강동구 올림픽로98가길 12-18","02-6012-8959",""
"6734","강동","일반체육활동사업","유아체육","유아","유아체육","목 11:00~11:40","구립가람슬기어린이집","20명","구립가람슬기어린이집","서울특별시 강동구 올림픽로98가길 12-17","02-6012-8958",""
"6733","강동","일반체육활동사업","유아체육","유아","유아체육","목 10:10~10:50","구립가람슬기어린이집","20명","구립가람슬기어린이집","서울특별시 강동구 올림픽로98가길 12-16","02-6012-8957",""
"6732","강동","일반체육활동사업","유아체육","유아","유아체육","수 14:00~14:40","좋은친구어린이집","20명","좋은친구어린이집","서울특별시 강동구 상암로4가길 24 (암사동)","02-481-4586",""
"6731","강동","일반체육활동사업","유아체육","유아","유아체육","수 13:10~13:50","좋은친구어린이집","20명","좋은친구어린이집","서울특별시 강동구 상암로4가길 24 (암사동)","02-481-4585",""
"6730","강동","일반체육활동사업","유아체육","유아","유아체육","수 11:00~11:40","좋은친구어린이집","20명","좋은친구어린이집","서울특별시 강동구 상암로4가길 24 (암사동)","02-481-4584",""
"6729","강동","일반체육활동사업","유아체육","유아","유아체육","화 11:10~11:50","구립다온어린이집","20명","구립다온어린이집","서울특별시 강동구 올림픽로79길 46","02-489-1712",""
"6728","강동","일반체육활동사업","유아체육","유아","유아체육","화 10:30~11:10","구립다온어린이집","20명","구립다온어린이집","서울특별시 강동구 올림픽로79길 46","02-489-1712",""
"6727","강동","일반체육활동사업","유아체육","유아","유아체육","화 09:50~10:30","구립다온어린이집","20명","구립다온어린이집","서울특별시 강동구 올림픽로79길 46","02-489-1712",""
"6726","강동","일반체육활동사업","유아체육","유아","유아체육","월 14:30~15:30","강동구청직장어린이집","20명","강동구청직장어린이집","서울특별시 강동구 성내로 25 1층","02-471-5996",""
"6725","강동","일반체육활동사업","유아체육","유아","유아체육","월 13:30~14:30","강동구청직장어린이집","20명","강동구청직장어린이집","서울특별시 강동구 성내로 25 1층","02-471-5996",""
"6724","강동","일반체육활동사업","유아체육","유아","유아체육","금 14:10~14:50","에덴동산KIDS어린이집","20명","에덴동산KIDS어린이집","서울특별시 강동구 상일로5길 10-14","02-428-4527",""
"6723","강동","일반체육활동사업","유아체육","유아","유아체육","금 13:30~14:10","에덴동산KIDS어린이집","20명","에덴동산KIDS어린이집","서울특별시 강동구 상일로5길 10-14","02-428-4527",""
"6722","강동","일반체육활동사업","유아체육","유아","유아체육","금 11:10~11:50","구립고덕숲어린이집","20명","구립고덕숲어린이집","서울특별시 강동구 고덕로80길 134 107동 1층","02-442-2323",""
"6721","강동","일반체육활동사업","유아체육","유아","유아체육","금 10:30~11:10","구립고덕숲어린이집","20명","구립고덕숲어린이집","서울특별시 강동구 고덕로80길 134 107동 1층","02-442-2323",""
"6720","강동","일반체육활동사업","유아체육","유아","유아체육","목 11:10~11:50","구립은강어린이집","20명","구립은강어린이집","서울특별시 강동구 양재대로103길 28","02-486-7979",""
"6719","강동","일반체육활동사업","유아체육","유아","유아체육","목 10:30~11:10","구립은강어린이집","20명","구립은강어린이집","서울특별시 강동구 양재대로103길 28","02-486-7979",""
"6718","강동","일반체육활동사업","유아체육","유아","유아체육","수 13:30~14:20","성내일어린이집","20명","성내일어린이집","서울특별시 강동구 풍성로42길 20","02-483-3732",""
"6717","강동","일반체육활동사업","유아체육","유아","유아체육","수 11:10~11:50","조은어린이집","20명","조은어린이집","서울특별시 강동구 고덕로 210 삼익그린아파트 상가","02-3427-4985",""
"6716","강동","일반체육활동사업","유아체육","유아","유아체육","수 10:30~11:10","조은어린이집","20명","조은어린이집","서울특별시 강동구 고덕로 210 삼익그린아파트 상가","02-3427-4985",""
"6715","강동","일반체육활동사업","유아체육","유아","유아체육","화 11:10~11:50","상미어린이집","20명","상미어린이집","서울특별시 강동구 천중로21길 39","02-478-6715",""
"6714","강동","일반체육활동사업","유아체육","유아","유아체육","화 10:30~11:10","상미어린이집","20명","상미어린이집","서울특별시 강동구 천중로21길 39","02-478-6715",""
"6713","강동","학교체육","유아체육","유소년","학교체육","월 14:30~15:30","묘곡초등학교","20명","묘곡초등학교","서울특별시 강동구 동남로79길 46","02-427-4167","https://myogok.sen.es.kr/"
"6712","강동","학교체육","유아체육","유소년","학교체육","월 13:30~14:30","묘곡초등학교","20명","묘곡초등학교","서울특별시 강동구 동남로79길 46","02-427-4167","https://myogok.sen.es.kr/"
"6711","강동","일반체육활동사업","유아체육","유아","유아체육","금 13:30~14:10","명일유치원","20명","명일유치원","서울특별시 강동구 암사19길 53","02-428-9077",""
"6710","강동","일반체육활동사업","유아체육","유아","유아체육","금 11:10~11:50","구립해든어린이집","20명","구립해든어린이집","서울특별시 강동구 상암로21길 26","02-428-7942",""
"6709","강동","일반체육활동사업","유아체육","유아","유아체육","금 10:30~11:10","구립해든어린이집","20명","구립해든어린이집","서울특별시 강동구 상암로21길 26","02-428-7942",""
"6708","강동","학교체육","학교체육","유소년","학교체육","목 14:20~15:10","강동초등학교","20명","강동초등학교","서울특별시 강동구 상암로14길 77","02-489-3215","https://kangdong.gwe.es.kr/main.do"
"6707","강동","학교체육","학교체육","유소년","학교체육","목 13:30~14:20","강동초등학교","20명","강동초등학교","서울특별시 강동구 상암로14길 77","02-489-3215","https://kangdong.gwe.es.kr/main.do"
"6706","강동","일반체육활동사업","유아체육","유아","유아체육","목 11:10~11:50","예꿈어린이집","15명","예꿈어린이집","서울특별시 강동구 상암로 89","02-427-3591",""
"6705","강동","일반체육활동사업","유아체육","유아","유아체육","목 10:30~11:10","예꿈어린이집","15명","예꿈어린이집","서울특별시 강동구 상암로 89","02-427-3591",""
"6704","강동","일반체육활동사업","유아체육","유아","유아체육","수 11:10~11:50","키즈랜드어린이집","15명","키즈랜드어린이집","서울특별시 강동구 성안로13길 42-7","02-476-3821",""
"6703","강동","일반체육활동사업","유아체육","유아","유아체육","수 10:30~11:10","키즈랜드어린이집","15명","키즈랜드어린이집","서울특별시 강동구 성안로13길 42-7","02-476-3821",""
"6702","강동","일반체육활동사업","유아체육","유아","유아체육","수 14:20~15:10","구립기리울어린이집","15명","구립기리울어린이집","서울특별시 강동구 진황도로49길 17","02-485-2212","https://cafe.naver.com/giriul"
"6701","강동","일반체육활동사업","유아체육","유아","유아체육","수 13:30~14:20","구립기리울어린이집","15명","구립기리울어린이집","서울특별시 강동구 진황도로49길 17","02-485-2212","https://cafe.naver.com/giriul"
"6700","강동","일반체육활동사업","유아체육","유아","유아체육","화 11:10~11:50","구립보람나무어린이집","20명","구립보람나무어린이집","서울특별시 강동구 암사길 57","02-442-0057","https://iseoul.seoul.go.kr/homepage/main.do?stCode=11740000034"
"6699","강동","일반체육활동사업","유아체육","유아","유아체육","화 10:30~11:10","구립보람나무어린이집","20명","구립보람나무어린이집","서울특별시 강동구 암사길 57","02-442-0057","https://iseoul.seoul.go.kr/homepage/main.do?stCode=11740000034"
"6698","강동","학교체육","학교체육","유소년","학교체육","월 14:30~15:30","선사초등학교","20명","선사초등학교","서울특별시 강동구 올림픽로 837","02-441-3492","https://sunsa.sen.es.kr/"
"6697","강동","학교체육","학교체육","유소년","학교체육","월 13:30~14:30","선사초등학교","20명","선사초등학교","서울특별시 강동구 올림픽로 837","02-441-3492","https://sunsa.sen.es.kr/"
"6696","강동","학교체육","학교체육","유소년","학교체육","금 15:20~16:10","천일초등학교","15명","천일초등학교","서울특별시 강동구 구천면로 266","070-8677-8910","http://chunil.es.kr/index.do"
"6695","강동","학교체육","학교체육","유소년","학교체육","금 14:30~15:20","천일초등학교","15명","천일초등학교","서울특별시 강동구 구천면로 266","070-8677-6910","http://chunil.es.kr/index.do"
"6694","강동","학교체육","학교체육","유소년","학교체육","금 15:00~16:00","천호초등학교","20명","천호초등학교","서울특별시 강동구 구천면로 310-12","02-470-9772","https://chunho.sen.es.kr/"
"6693","강동","학교체육","학교체육","유소년","학교체육","금 14:00~15:00","천호초등학교","20명","천호초등학교","서울특별시 강동구 구천면로 310-11","02-470-9772","https://chunho.sen.es.kr/"
"6692","강동","일반체육활동사업","유아체육","유아","유아체육","금 15:00~15:40","혜림어린이집","15명","혜림어린이집","서울특별시 강동구 천중로39길 77","02-477-1015",""
"6691","강동","일반체육활동사업","유아체육","유아","유아체육","금 13:30~14:10","라온어린이집","12명","라온어린이집","서울특별시 강동구 천중로39길 43-1","02-441-9000",""
"6690","강동","일반체육활동사업","유아체육","유아","유아체육","금 10:50~11:30","하늘어린이집","10명","하늘어린이집","서울특별시 강동구 암사 13길 30","02-426-5882",""
"6689","강동","일반체육활동사업","유아체육","유아","유아체육","금 10:00~10:40","하늘어린이집","11명","하늘어린이집","서울특별시 강동구 암사 13길 30","02-426-5882",""
"6688","강동","학교체육","학교체육","유소년","학교체육","목 15:50~16:40","길동초등학교","25명","길동초등학교","서울특별시 강동구 양재대로 116길 69","02-475-5591","gildong.sen.es.kr"
"6687","강동","학교체육","학교체육","유소년","학교체육","목 14:50~15:40","길동초등학교","25명","길동초등학교","서울특별시 강동구 양재대로 116길 69","02-475-5591","gildong.sen.es.kr"
"6686","강동","일반체육활동사업","유아체육","유아","유아체육","목 11:00~11:40","애지어린이집","20명","애지어린이집","서울특별시 강동구 진황도로 160","02-471-8842",""
"6685","강동","일반체육활동사업","유아체육","유아","유아체육","목 10:10~10:50","애지어린이집","20명","애지어린이집","서울특별시 강동구 진황도로 160","02-471-8842",""
"6684","강동","일반체육활동사업","유아체육","유아","유아체육","수 14:00~14:40","방주어린이집","20명","방주어린이집","서울특별시 강동구 천호대로 187길 31","02-470-6613",""
"6683","강동","일반체육활동사업","유아체육","유아","유아체육","수 13:10~13:50","방주어린이집","23명","방주어린이집","서울특별시 강동구 천호대로 187길 31","02-470-6613",""
"6682","강동","일반체육활동사업","유아체육","유아","유아체육","수 11:00~11:40","강동어린이집","20명","강동어린이집","서울특별시 강동구 고덕로 131 롯데캐슬퍼스트아파트 관리동 내","02-428-7875","cafe.naver.com/kdong5314"
"6681","강동","일반체육활동사업","유아체육","유아","유아체육","화 11:10~11:50","천호병설유치원","20명","천호병설유치원","서울특별시 강동구 구천면로 310-11","02-470-9771","chunho.sen.es.kr"
"6680","강동","일반체육활동사업","유아체육","유아","유아체육","화 10:30~11:10","천호병설유치원","20명","천호병설유치원","서울특별시 강동구 구천면로 310-11","02-470-9771","chunho.sen.es.kr"
"6679","강동","일반체육활동사업","유아체육","유아","유아체육","화 09:50~10:30","천호병설유치원","24명","천호병설유치원","서울특별시 강동구 구천면로 310-11","02-470-9771","chunho.sen.es.kr"
"6678","강동","학교체육","학교체육","유소년","학교체육","월 14:30~15:30","천동초등학교","25명","천동초등학교","서울특별시 강동구 성안로 201","02-483-4446","scd.sen.es.kr"
"6677","강동","학교체육","학교체육","유소년","학교체육","월 13:30~14:30","천동초등학교","25명","천동초등학교","서울특별시 강동구 성안로 200","02-483-4445","scd.sen.es.kr"
"6676","강동","어르신체육활동사업","어르신체육활동사업","어르신","근력&스트레칭","금 14:30~15:15","프라이어팰리스경로당","15명","프라이어팰리스경로당","서울특별시 강동구 고덕로 130","02-426-4674",""
"6675","강동","어르신체육활동사업","어르신체육활동사업","어르신","근력&스트레칭","금 11:00~11:40","강동노인복지관데이케어센터","20명","강동노인복지관","서울특별시 강동구 동남로71길 32-5 4층","02-426-2048","http://www.gdsw.or.kr"
"6674","강동","어르신체육활동사업","어르신체육활동사업","어르신","근력&스트레칭","목 15:30~16:10","천호동성당 데이케어센터","15명","천호동성당 데이케어센터","서울특별시 강동구 구천면로 236-1-성우안토니오관 5층","02-471-9973","https://blog.naver.com/cheunho9988"
"6673","강동","어르신체육활동사업","어르신체육활동사업","어르신","근력&스트레칭","목 14:00~15:00","성가정복지관","25명","성가정복지관","서울특별시 강동구 양재대로156길 28-(고덕동 317-25) 명일동천주교회","02-481-2217","http://www.skjsenior.org/"
"6672","강동","어르신체육활동사업","어르신체육활동사업","어르신","근력&스트레칭","목 11:00~11:40","암사행복데이케어센터","15명","암사행복데이케어센터","서울특별시 강동구 올림픽로98길 30-탑스빌딩 3층","02-441-5565","https://happydaycarecenter.modoo.at/"
"6671","강동","어르신체육활동사업","어르신체육활동사업","어르신","근력&스트레칭","수 14:00~14:40","삼익파크 경로당","15명","삼익파크 경로당","서울특별시 강동구 명일로 293 길동삼익파크","",""
"6670","강동","어르신체육활동사업","어르신체육활동사업","어르신","근력&스트레칭","수 13:00~13:40","둔촌현대A 4차 경로당","10명","둔촌현대A 4차 경로당","서울특별시 강동구 진황도로61길 7","02-476-5700",""
"6669","강동","어르신체육활동사업","어르신체육활동사업","어르신","근력&스트레칭","화 14:30~15:30","강동노인복지관","15명","강동노인복지관","서울특별시 강동구 동남로71길 32-5 4층","070-7510-3051","http://www.gdsw.or.kr"
"6668","강동","어르신체육활동사업","어르신체육활동사업","어르신","근력&스트레칭","화 11:00~11:40","미르친구데이케어센터","14명","미르친구데이케어센터","서울특별시 강동구 천호옛14길 37, 3층","02-489-6656","https://cafe.naver.com/hyokyeong9988/162"
"6667","강동","어르신체육활동사업","어르신체육활동사업","어르신","근력&스트레칭","월 15:30~16:10","가온데이케어센터","15명","가온데이케어센터","서울특별시 강동구 천호대로 1203-6,  7층","02-489-0993","https://cafe.naver.com/kddcc"
"6666","강동","어르신체육활동사업","어르신체육활동사업","어르신","근력&스트레칭","월 13:30~14:10","고덕리엔파크1단지 경로당","10명","고덕리엔파크1단지 경로당","서울특별시 강동구 상일로 152","02-426-1933",""
