"연번","책방 이름","구 코드","구 이름","주소","전화번호","홈페이지 url","책방 구분","책방 구분명","위도","경도","SNS url"
"2283","1984","313","마포구","마포구 동교로 194 혜원빌딩","02-325-1984","","0002","새책방      ","37.5573847248586","126.922886096614","https://www.instagram.com/1984store"
"2284","21세기문고","322","강남구","강남구 남부순환로359길 31","02-3463-1880  ","","0002","새책방      ","37.486832613278","127.035565303937",""
"2285","C&S서점","322","강남구","강남구 남부순환로 2806 군인공제회관 지하1층","02-2190-2178","","0002","새책방      ","37.489109180937","127.052914072356",""
"2829","Itaewon books","302","용산구","용산구 녹사평대로 208","02-793-8249","","0001","헌책방      ","37.5362463724633","126.987226909735","https://www.instagram.com/itaewon_foreign_bookstore"
"3121","PRNT","319","동작구","동작구 만양로1길 1 1층","070-4177-0021","https://prntseoul.com","0002","새책방      ","37.5057329529388","126.946736937837","https://www.instagram.com/prntseoul"
"2287","SK문고","308","강북구","강북구 솔샘로 215 2층","02-945-1959","","0002","새책방      ","37.6202008005454","127.016608651764",""
"2754","YES24 중고매장(목동점)","314","양천구","양천구 오목로 325 지하 1층","1566-4295","","0001","헌책방      ","37.5251074073334","126.873626981623",""
"2753","YES24(강서NC점)","315","강서구","강서구 강서로56길 17 NC백화점 강서점 8, 9층","","","0002","새책방      ","37.559933531546","126.840498784915",""
"2288","가가77페이지","313","마포구","마포구 망원로 74-1 지하1층","","http://77page.com","0002","새책방      ","37.557261280131","126.905179261937","https://www.instagram.com/gaga77page"
"2289","가람프라자","317","금천구","금천구 시흥대로41길 95","02-891-7474","","0002","새책방      ","37.4506617287092","126.900034587192",""
"3321","각자의 삶","300","종로구","서울 종로구 창덕궁길 169 1층","0507-1432-7577","","0002","새책방      ","37.5830595828189","126.986588873555",""
"3141","감성인간서점","307","성북구","성북구 돌곶이로 41가길 14-10","","https://blog.naver.com/dnfladydgk","0002","새책방      ","37.6186843672529","127.044650581376","https://www.instagram.com/gamseongingan"
"2290","갑을문고","307","성북구","성북구 화랑로11길 26","0507-1320-0002","","0002","새책방      ","37.603300012239","127.042108302625","https://www.instagram.com/gapeul_bookstore"
"2755","강동헌책방","324","강동구","강동구 구천면로 257","02-471-0272","","0001","헌책방      ","37.5432729284768","127.13164828969",""
"2293","강서책서점","314","양천구","양천구 목동중앙남로 28","02-651-1085","","0002","새책방      ","37.5364764239853","126.867389257907",""
