category_id,name,district,address,latitude,longitude,work_time,price,phone_number,image_url,page_url,description,장소,참가규모(명),수혜기관명,기관 홈페이지
,축구(송파여성축구장),송파,서울특별시 송파구 방이동88,37.52103148,127.1161651,"월, 금 10:00~12:00",지자체에 문의,,,,축구,송파여성축구장,30명,송파구여성동호인,
,특수체육(하상장애인복지관),강남,서울특별시 강남구 개포로613,37.49255359,127.0751317,화 15:30~16:20/16:20~17:00,지자체에 문의,02-451-6000,,,특수체육,하상장애인복지관,8,하상장애인복지관,http://www.hasang.org/main/main.php
,각 종 뉴스포츠(비상청소년사회복귀시설),관악,서울특별시 관악구 남부순환로 2054,37.47633698,126.9769252,"화 13:30~14:10, 화 14:10~14:50",지자체에 문의,070-4200-4401,,,각 종 뉴스포츠,비상청소년사회복귀시설,20명,비상청소년사회복귀시설,http://www.visang.or.kr/
,기초체력(노들나루공원),동작,서울특별시 동작구 노량진로 247,37.51453063,126.9524302,화 10:00~11:00,지자체에 문의,02-820-9435,,,기초체력,노들나루공원,30명,노들나루공원,www.dongjak.go.kr/healthcare/main/main.do
,생활체조(사당분소),동작,서울특별시 동작구 사당로 253-3,37.4836744,126.9758707,금 13:40~14:20,지자체에 문의,02-820-9644,,,생활체조,사당분소,20명,동작구보건소 사당분소,
,생활체조(사당분소),동작,서울특별시 동작구 사당로 253-3,37.4836744,126.9758707,금 13:00~13:40,지자체에 문의,02-820-9644,,,생활체조,사당분소,20명,동작구보건소 사당분소,
,"스트레칭, 근력운동(상도어울마당)",동작,서울특별시 동작구 성대로 180,37.49925547,126.9403722,"화, 목 15:00~15:40",지자체에 문의,,,,"스트레칭, 근력운동",상도어울마당,20명,동작구보건소,www.dongjak.go.kr/healthcare/main/main.do
,"스트레칭, 근력운동(상도어울마당)",동작,서울특별시 동작구 성대로 180,37.49925547,126.9403722,"화, 목 14:00~14:45",지자체에 문의,,,,"스트레칭, 근력운동",상도어울마당,20명,동작구보건소,www.dongjak.go.kr/healthcare/main/main.do
,요가(사당롯데캐슬 아파트),동작,"서울특별시 동작구 사당로27길 190, 106동 지하2층",37.49095711,126.9715874,"수, 금 11:00~11:45",지자체에 문의,,,,요가,사당롯데캐슬 아파트,15명,사당롯데캐슬 주민,
,축구(노들나루공원잔디구장),동작,서울특별시 동작구 노량진로 247,37.51453063,126.9524302,"목, 금 10:00~12:00",지자체에 문의,,,,축구,노들나루공원잔디구장,20명,동작구여성축구단,
,"헬스,필라테스(대림1동 주민자치센터)",영등포,서울특별시 영등포구 디지털로 441 대림제1동 사무소 체육관3층,37.49545723,126.905842,월 10:30~11:10,지자체에 문의,02-2670-1379,,,"헬스,필라테스",대림1동 주민자치센터,15명,대림1동 주민자치센터,
,헬스(신길7동주민센터),영등포,서울특별시 영등포구 여의대방로43길 10,37.50639203,126.9215141,수 10;40~11:20,지자체에 문의,02-2670-1365,,,헬스,신길7동주민센터,20명,신길7동주민센터,
,헬스(신길7동주민센터),영등포,서울특별시 영등포구 여의대방로43길 10,37.50639203,126.9215141,수 10;00~10:40,지자체에 문의,02-2670-1365,,,헬스,신길7동주민센터,20명,신길7동주민센터,
,"스트레칭,헬스(영등포구자치회관헬스장)",영등포,서울특별시 영등포구 국회대로44길4,37.52538799,126.9036383,화 10:10~10:40,지자체에 문의,02-2068-8810,,,"스트레칭,헬스",영등포구자치회관헬스장,20명,영등포구자치회관헬스장,
,"스트레칭,헬스(영등포구자치회관헬스장)",영등포,서울특별시 영등포구 국회대로44길4,37.52538799,126.9036383,화 09:30~10:10,지자체에 문의,02-2068-8810,,,"스트레칭,헬스",영등포구자치회관헬스장,20명,영등포구자치회관헬스장,
,"스트레칭,헬스(대림3동헬스장)",영등포,서울특별시 영등포구 대림로 197,37.49831352,126.8980344,목 09:00~09:40,지자체에 문의,02-843-5536,,,"스트레칭,헬스",대림3동헬스장,10명,대림3동주민센터,
,"스트레칭,헬스(대림3동헬스장)",영등포,서울특별시 영등포구 대림로 197,37.49831352,126.8980344,월 09:00~09:40,지자체에 문의,02-843-5536,,,"스트레칭,헬스",대림3동헬스장,10명,대림3동주민센터,
,생활체육(모랫말꿈터),영등포,서울특별시 영등포구 도영로11길 11,37.51062509,126.8969571,수 13:30~14:10,지자체에 문의,,,,생활체육,모랫말꿈터,15명,모랫말꿈터,
,생활체육(모랫말꿈터),영등포,서울특별시 영등포구 도영로11길 11,37.51062509,126.8969571,수 12:50~13:30,지자체에 문의,,,,생활체육,모랫말꿈터,15명,모랫말꿈터,
,"스트레칭,헬스(도림동자치센터 헬스장)",영등포,서울특별시 영등포구 도영로7길 10,37.5094934,126.8959996,수 10:10~10:40,지자체에 문의,02-832-1780,,,"스트레칭, 헬스",도림동자치센터 헬스장,20명,도림동자치센터 헬스장,
,"스트레칭,헬스(도림동자치센터 헬스장)",영등포,서울특별시 영등포구 도영로7길 10,37.5094934,126.8959996,수 09:20~10:10,지자체에 문의,02-832-1780,,,"스트레칭, 헬스",도림동자치센터 헬스장,20명,도림동자치센터 헬스장,
,"스트레칭,헬스(신길3동주민센터 헬스장)",영등포,서울특별시 영등포구 신길로41라길 13-8,37.50729867,126.9077496,화 10:30~11:10,지자체에 문의,02-846-9697,,,"스트레칭, 헬스",신길3동주민센터 헬스장,20명,신길주민센터 헬스장,
,"스트레칭,헬스(신길3동주민센터 헬스장)",영등포,서울특별시 영등포구 신길로41라길 13-8,37.50729867,126.9077496,화 09:50~10:30,지자체에 문의,02-846-9697,,,"스트레칭, 헬스",신길3동주민센터 헬스장,20명,신길주민센터 헬스장,
,"스트레칭,생활체조(양평동헬스장)",영등포,서울특별시 영등포구 선유서로 34길 10 4층,37.5268695,126.8874353,월 10:30~11:10,지자체에 문의,,,,"스트레칭,생활체조",양평동헬스장,20명,양평동주민복지회관,
,"스트레칭,생활체조(양평동헬스장)",영등포,서울특별시 영등포구 선유서로 34길 10 4층,37.5268695,126.8874353,월 09:50~10:30,지자체에 문의,,,,"스트레칭,생활체조",양평동헬스장,20명,양평동주민복지회관,
,헬스(대림1동 주민자치센터),영등포,서울특별시 영등포구 디지털로 441 대림제1동 사무소 체육관3층,37.49545723,126.905842,수 10:30~11:10,지자체에 문의,02-2670-1379,,,헬스,대림1동 주민자치센터,20명,대림1동 주민자치센터,
