,분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(X좌표),경도(Y좌표),유무료,문화포털상세URL
0,콘서트,강북구,딕펑스×두번째달_Spice of life,2023-12-23~2023-12-23,꿈의숲 퍼포먼스홀,세종문화회관,만 8세 이상,"전석 45,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34449&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d5e5494491b1481081180ac991c410db&thumb=Y,2023-09-19,기관,00:00.0,00:00.0,,37.62025446,127.0443247,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143406&menuNo=200008
1,콘서트,마포구,"[2023 카즈미 타테이시 트리오 내한공연] 크리스마스, 재즈를 만나다",2023-12-10~2023-12-10,마포아트센터 아트홀 맥,기타,만 7세 이상,"VIP석 77,000원 / R석 66,000원 / S석 55,000원 / A석 44,000원",,"Let It Snow, White Christmas 등 재즈로 즐기는 크리스마스의 특별한 선율",,https://tickets.interpark.com/goods/23012376,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1d4309b7571e4ad5aab07a8811b72f91&thumb=Y,2023-09-11,시민,00:00.0,00:00.0,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143244&menuNo=200008
2,콘서트,마포구,[서울마포음악창작소] 2023 M 인디열전 ♪ EXTENSION 공연,2023-12-08~2023-12-09,마포아트센터 아트홀맥,마포문화재단,8세 이상,"티켓 R석 : 30,000원 / 티켓 S석 : 20,000원",,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_top_str=%EC%9D%B8%EB%94%94&pk_seq=2274&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=86b2edb7cbce492ebb5995c0a51c3b78&thumb=Y,2023-10-11,기관,00:00.0,00:00.0,,37.55506905,126.9575349,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143653&menuNo=200008
3,전시/미술,중구,서울시립미술관 [우리가 모여 산을 이루는 이야기],2023-12-07~2024-03-03,서울시립미술관 서소문본관 3층,서울시청,누구나,,,,,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1233185,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=488b87e776a044b5bf376755084cf08d&thumb=Y,2023-10-13,기관,00:00.0,00:00.0,기타,37.56410607,126.9736993,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143690&menuNo=200009
4,축제-기타,마포구,[M클래식 축제] 마포공연예술관광페스티벌 [타케자와 유토 피아노 리사이틀],2023-12-07~2023-12-07,마포아트센터 아트홀 맥,마포문화재단,8세 이상,"R석 50,000원 / S석 30,000 / A석 20,000원",타케자와 유토 ,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2219&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=98b236d199594782b856d8529279f60f&thumb=Y,2023-07-06,기관,00:00.0,00:00.0,기타,37.54990609,126.9455338,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142296&menuNo=200010
5,축제-기타,마포구,[M클래식 축제] 마포공연예술관광페스티벌 킷 암스트롱 피아노 리사이틀,2023-12-06~2023-12-06,마포아트센터 아트홀맥,마포문화재단,8세 이상,"R석 50,000원 / S석 30,000 / A석 20,000원",킷 암스트롱,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2218&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a746bbf37f4d439aa5a2711e6fbd6e54&thumb=Y,2023-07-06,기관,00:00.0,00:00.0,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142295&menuNo=200010
6,클래식,마포구, M 아티스트 2023 김도현 피아노 리사이틀 II,2023-12-05~2023-12-05,마포아트센터 아트홀맥,마포문화재단, 8세이상관람가[미취학아동입장불가]," VIP석 55,000원, R석 44,000원, S석 33,000원",피아니스트 김도현,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2176&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6a59720cd9c34bbfa056eb6b5031f809&thumb=Y,2023-03-15,기관,00:00.0,00:00.0,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141022&menuNo=200008
7,클래식,강동구,선우예권&국립슬로박필하모닉오케스트라,2023-12-02~2023-12-02,강동아트센터 대극장 한강,강동문화재단,8세 이상 관람가,"R석 100,000원 S석 70,000원 A석 50,000원",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1968&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7073489c754345da815a4e636546e3e5&thumb=Y,2023-08-22,기관,00:00.0,00:00.0,,37.55122046,127.1573425,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142864&menuNo=200008
8,클래식,구로구,브런치콘서트 [이달의 공연] 11월 클래식과 재즈의 더 배틀,2023-11-28~2023-11-28,구로아트밸리 예술극장,구로문화재단,7세 이상 관람가,"전석 10,000원 / 단체10인 이상 할인 20% (전화예매필수)",,,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3673&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=78c250f20537440cbbdf2f085f20a1c7&thumb=Y,2023-07-28,기관,00:00.0,00:00.0,기타,37.49655847,126.8889639,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142575&menuNo=200008
9,뮤지컬/오페라,영등포구,[영등포문화재단] 가족극장 뮤지컬 앤ANNE,2023-11-24~2023-11-25,영등포아트홀,영등포문화재단,누구나,"전석 20,000원",,,,https://www.ydpcf.or.kr/artexhibit/view.do?id=340,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=112b480647624c63b325fac76d1100f8&thumb=Y,2023-10-13,기관,00:00.0,00:00.0,기타,37.5262451,126.9001286,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143673&menuNo=200008
10,콘서트,구로구,[구로문화재단 팝페라 콘서트] 팝페라 그룹 포엣,2023-11-24~2023-11-24,오류아트홀,구로문화재단,취학아동이상,"전석 20,000원",,,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3688&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c54b44e3c1ca40cf8213cb68176314aa&thumb=Y,2023-09-08,기관,00:00.0,00:00.0,,37.49535812,126.8460358,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143220&menuNo=200008
11,클래식,강동구,"이고르 레비트, 피아노 리사이틀",2023-11-22~2023-11-22,강동아트센터 대극장 한강,강동문화재단,8세이상 관람가,"R석 90,000원 S석 70,000원 A석 50,000원",,,,http://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1975&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5e038a40312b4c4490f7e12d75838c61&thumb=Y,2023-08-22,기관,00:00.0,00:00.0,,37.55122046,127.1573425,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142865&menuNo=200008
12,콘서트,종로구,2023 이병우 기타 콘서트 -  다가오는 심장 소리,2023-11-18~2023-11-19,세종문화회관 S씨어터,기타,만 7세 이상,"전석 77,000원",이병우,기타로 모든 음악을 표현하는 멀티 기타 플레이어이자 핑거스타일 기타리스트 1호이기도 한 이병우의 기타 콘서트,,https://www.ticketlink.co.kr/product/46340,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9646bb15bf734cc7916258b5bfe61cd9&thumb=Y,2023-10-11,시민,00:00.0,00:00.0,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143651&menuNo=200008
13,클래식,마포구, 차이코프스키 동화음악극 [미녀와 야수],2023-11-18~2023-11-18,마포아트센터 아트홀 맥,마포문화재단, 5세 이상(2018년 이전 출생)," R석 50,000원 S석 40,000원 A석 30,000원","김예은, 장철준, 김비존, 이지환, 이주찬, 이은조, 밀레니엄심포니오케스트라",,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_top_str=%EB%AF%B8%EB%85%80&pk_seq=2267&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a15339dbdd41460787de9733beb70261&thumb=Y,2023-09-21,기관,00:00.0,00:00.0,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143428&menuNo=200008
14,국악,종로구,완창여정프로젝트 : 이해원의 심청가 판소리공장 바닥소리,2023-11-18~2023-11-18,서울돈화문국악당 공연장,서울돈화문국악당,전체관람가,"전석 20,000원",,,,https://sdtt.or.kr/user/program/2023/11/1408,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5cb07053829247dd8faf7c4805460fba&thumb=Y,2023-09-22,기관,00:00.0,00:00.0,기타,37.57725028,126.9907307,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143460&menuNo=200008
15,교육/체험,노원구,[서울시립과학관] 11월 가족과 함께하는 바이오랩,2023-11-11~2023-11-25,서울시립과학관 3층 1교육실,서울시립과학관,초등 4학년 이상~가족,"1인당 10,000원",,,,https://science.seoul.go.kr/program/science/read?menuId=14&progMstId=671,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e242733fb7894b32bd5b80d7d7b993f8&thumb=Y,2023-10-13,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.64199411,127.0774371,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143676&menuNo=200011
