,행사명,지역구,제목,내용,대상,종목,일시,장소,참가규모(명),수혜기관명,주소,전화번호,기관 홈페이지,위도,경도
0,축구(송파여성축구장),송파,일반체육활동사업,축구,일반,축구,"월, 금 10:00~12:00",송파여성축구장,30명,송파구여성동호인,서울특별시 송파구 방이동88,,,37.52103148,127.1161651
1,특수체육(하상장애인복지관),강남,일반체육활동사업,일반체육활동사업,일반,특수체육,화 15:30~16:20/16:20~17:00,하상장애인복지관,8,하상장애인복지관,서울특별시 강남구 개포로613,02-451-6000,http://www.hasang.org/main/main.php,37.49255359,127.0751317
2,각 종 뉴스포츠(비상청소년사회복귀시설),관악,일반체육활동사업,각 종 뉴스포츠,일반,각 종 뉴스포츠,"화 13:30~14:10, 화 14:10~14:50",비상청소년사회복귀시설,20명,비상청소년사회복귀시설,서울특별시 관악구 남부순환로 2054,070-4200-4401,http://www.visang.or.kr/,37.47633698,126.9769252
4,기초체력(노들나루공원),동작,일반체육활동사업,걷기,일반,기초체력,화 10:00~11:00,노들나루공원,30명,노들나루공원,서울특별시 동작구 노량진로 247,02-820-9435,www.dongjak.go.kr/healthcare/main/main.do,37.51453063,126.9524302
5,생활체조(사당분소),동작,일반체육활동사업,"근력운동, 치매예방, 스트레칭",여성,생활체조,금 13:40~14:20,사당분소,20명,동작구보건소 사당분소,서울특별시 동작구 사당로 253-3,02-820-9644,,37.4836744,126.9758707
6,생활체조(사당분소),동작,일반체육활동사업,"근력운동, 치매예방, 스트레칭",여성,생활체조,금 13:00~13:40,사당분소,20명,동작구보건소 사당분소,서울특별시 동작구 사당로 253-3,02-820-9644,,37.4836744,126.9758707
7,"스트레칭, 근력운동(상도어울마당)",동작,일반체육활동사업,여성비만 대상 근력운동,여성,"스트레칭, 근력운동","화, 목 15:00~15:40",상도어울마당,20명,동작구보건소,서울특별시 동작구 성대로 180,,www.dongjak.go.kr/healthcare/main/main.do,37.49925547,126.9403722
8,"스트레칭, 근력운동(상도어울마당)",동작,일반체육활동사업,여성비만 대상 근력운동,여성,"스트레칭, 근력운동","화, 목 14:00~14:45",상도어울마당,20명,동작구보건소,서울특별시 동작구 성대로 180,,www.dongjak.go.kr/healthcare/main/main.do,37.49925547,126.9403722
9,요가(사당롯데캐슬 아파트),동작,일반체육활동사업,요가,여성,요가,"수, 금 11:00~11:45",사당롯데캐슬 아파트,15명,사당롯데캐슬 주민,"서울특별시 동작구 사당로27길 190, 106동 지하2층",,,37.49095711,126.9715874
10,축구(노들나루공원잔디구장),동작,일반체육활동사업,여성축구교실,여성,축구,"목, 금 10:00~12:00",노들나루공원잔디구장,20명,동작구여성축구단,서울특별시 동작구 노량진로 247,,,37.51453063,126.9524302
11,"헬스,필라테스(대림1동 주민자치센터)",영등포,일반체육활동사업,"헬스,스트레칭",일반,"헬스,필라테스",월 10:30~11:10,대림1동 주민자치센터,15명,대림1동 주민자치센터,서울특별시 영등포구 디지털로 441 대림제1동 사무소 체육관3층,02-2670-1379,,37.49545723,126.905842
12,헬스(신길7동주민센터),영등포,일반체육활동사업,헬스,일반,헬스,수 10;40~11:20,신길7동주민센터,20명,신길7동주민센터,서울특별시 영등포구 여의대방로43길 10,02-2670-1365,,37.50639203,126.9215141
13,헬스(신길7동주민센터),영등포,일반체육활동사업,헬스,일반,헬스,수 10;00~10:40,신길7동주민센터,20명,신길7동주민센터,서울특별시 영등포구 여의대방로43길 10,02-2670-1365,,37.50639203,126.9215141
14,"스트레칭,헬스(영등포구자치회관헬스장)",영등포,일반체육활동사업,"스트레칭,헬스",일반,"스트레칭,헬스",화 10:10~10:40,영등포구자치회관헬스장,20명,영등포구자치회관헬스장,서울특별시 영등포구 국회대로44길4,02-2068-8810,,37.52538799,126.9036383
15,"스트레칭,헬스(영등포구자치회관헬스장)",영등포,일반체육활동사업,"스트레칭,헬스",일반,"스트레칭,헬스",화 09:30~10:10,영등포구자치회관헬스장,20명,영등포구자치회관헬스장,서울특별시 영등포구 국회대로44길4,02-2068-8810,,37.52538799,126.9036383
16,"스트레칭,헬스(대림3동헬스장)",영등포,일반체육활동사업,"스트레칭,헬스",일반,"스트레칭,헬스",목 09:00~09:40,대림3동헬스장,10명,대림3동주민센터,서울특별시 영등포구 대림로 197,02-843-5536,,37.49831352,126.8980344
17,"스트레칭,헬스(대림3동헬스장)",영등포,일반체육활동사업,"스트레칭,헬스",일반,"스트레칭,헬스",월 09:00~09:40,대림3동헬스장,10명,대림3동주민센터,서울특별시 영등포구 대림로 197,02-843-5536,,37.49831352,126.8980344
18,생활체육(모랫말꿈터),영등포,일반체육활동사업,생활체육,일반,생활체육,수 13:30~14:10,모랫말꿈터,15명,모랫말꿈터,서울특별시 영등포구 도영로11길 11,,,37.51062509,126.8969571
19,생활체육(모랫말꿈터),영등포,일반체육활동사업,생활체육,일반,생활체육,수 12:50~13:30,모랫말꿈터,15명,모랫말꿈터,서울특별시 영등포구 도영로11길 11,,,37.51062509,126.8969571
20,"스트레칭, 헬스(도림동자치센터 헬스장)",영등포,일반체육활동사업,"스트레칭, 헬스",일반,"스트레칭, 헬스",수 10:10~10:40,도림동자치센터 헬스장,20명,도림동자치센터 헬스장,서울특별시 영등포구 도영로7길 10,02-832-1780,,37.5094934,126.8959996
21,"스트레칭, 헬스(도림동자치센터 헬스장)",영등포,일반체육활동사업,"스트레칭, 헬스",일반,"스트레칭, 헬스",수 09:20~10:10,도림동자치센터 헬스장,20명,도림동자치센터 헬스장,서울특별시 영등포구 도영로7길 10,02-832-1780,,37.5094934,126.8959996
22,"스트레칭, 헬스(신길3동주민센터 헬스장)",영등포,일반체육활동사업,"스트레칭, 헬스",일반,"스트레칭, 헬스",화 10:30~11:10,신길3동주민센터 헬스장,20명,신길주민센터 헬스장,서울특별시 영등포구 신길로41라길 13-8,02-846-9697,,37.50729867,126.9077496
23,"스트레칭, 헬스(신길3동주민센터 헬스장)",영등포,일반체육활동사업,"스트레칭, 헬스",일반,"스트레칭, 헬스",화 09:50~10:30,신길3동주민센터 헬스장,20명,신길주민센터 헬스장,서울특별시 영등포구 신길로41라길 13-8,02-846-9697,,37.50729867,126.9077496
24,"스트레칭,생활체조(양평동헬스장)",영등포,일반체육활동사업,근력운동 및 생활체조,일반,"스트레칭,생활체조",월 10:30~11:10,양평동헬스장,20명,양평동주민복지회관,서울특별시 영등포구 선유서로 34길 10 4층,,,37.5268695,126.8874353
25,"스트레칭,생활체조(양평동헬스장)",영등포,일반체육활동사업,근력운동 및 생활체조,일반,"스트레칭,생활체조",월 09:50~10:30,양평동헬스장,20명,양평동주민복지회관,서울특별시 영등포구 선유서로 34길 10 4층,,,37.5268695,126.8874353
26,헬스(대림1동 주민자치센터),영등포,일반체육활동사업,근력운동 및 스트레칭,일반,헬스,수 10:30~11:10,대림1동 주민자치센터,20명,대림1동 주민자치센터,서울특별시 영등포구 디지털로 441 대림제1동 사무소 체육관3층,02-2670-1379,,37.49545723,126.905842
27,헬스(대림1동 주민자치센터),영등포,일반체육활동사업,근력운동 및 스트레칭,일반,헬스,수 09:50~10:30,대림1동 주민자치센터,20명,대림1동 주민자치센터,서울특별시 영등포구 디지털로 441 대림제1동 사무소 체육관3층,02-2670-1379,,37.49545723,126.905842
28,"헬스,필라테스(대림1동 주민자치센터)",영등포,일반체육활동사업,"헬스,필라테스",일반,"헬스,필라테스",월 09:50~10:30,대림1동 주민자치센터,15명,대림1동 주민자치센터,서울특별시 영등포구 디지털로 441 대림제1동 사무소 체육관3층,02-2670-1379,,37.49545723,126.905842
29,배구(구로구민체육센터),구로,일반체육활동사업,일반체육활동사업,일반,배구,"월,수,금 10:00~12:00",구로구민체육센터,20명,구로구민체육센터,서울특별시 구로구 고척로45길 39,02-2681-9595,https://www.gurosisul.or.kr/mod.asp?m=business&s=b01,37.50658124,126.8532759
30,배구(구로구민체육센터),구로,일반체육활동사업,일반체육활동사업,일반,배구,"월,수,금 10:00~12:00",구로구민체육센터,20명,구로구민체육센터,서울특별시 구로구 고척로45길 39,02-2681-9595,https://www.gurosisul.or.kr/mod.asp?m=business&s=b01,37.50658124,126.8532759
