체험코스 아이디,category_id,course_name,name,district,address,duration_time,order_number,x 좌표,y 좌표,work_time,price,phone_number,,image_url,page_url,description,미래유산 썸네일 경로
227,,시장부터 식사까지 경험하는 서울시민의 일상,해창양복점,중구,중구 남대문로7길 33,3시간,3,126.980015,126.980015,,,02-776-1667,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013284/jpg/2013284_007_thumb.jpg
227,,시장부터 식사까지 경험하는 서울시민의 일상,한영양복점,중구,중구 퇴계로20길 2,3시간,0,126.985436,126.985436,,,02-2266-0870,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013279/jpg/2013279_001_thumb.jpg
227,,시장부터 식사까지 경험하는 서울시민의 일상,상동교회(구 새로나백화점),중구,중구 남대문로 30,3시간,1,126.979047,126.979047,,,,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013126/jpg/2013126_001_thumb.jpg
227,,시장부터 식사까지 경험하는 서울시민의 일상,라 칸티나,중구,중구 을지로 19,3시간,4,126.979956,126.979956,,유료,02-777-2580,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013084/jpg/2013084_004_thumb.jpg
227,,시장부터 식사까지 경험하는 서울시민의 일상,남대문시장,중구,중구 남대문시장4길 21,3시간,2,126.977284,126.977284,,,02-753-2805,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013046/jpg/2013046_001_thumb.jpg
226,,두 손 두 발 가볍게 경의선 나들이,홍대 앞 서교 365,마포구,마포구 홍익로3길 1,3시간,3,126.922427,126.922427,,,02-3141-1084,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013291/jpg/2013291_001_thumb.jpg
226,,두 손 두 발 가볍게 경의선 나들이,경춘선 폐철도노선,노원구,노원구 공릉로55길 88 인근,3시간,0,127.0689537,127.0689537,,,,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013012/jpg/2013012_001_thumb.jpg
226,,두 손 두 발 가볍게 경의선 나들이,연남동 기사식당 거리,마포구,연남파출소 기준 좌측 연남로 400m,3시간,1,126.924205,126.924205,,,02-325-8727,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/20171016174124_01_thumb.jpg
226,,두 손 두 발 가볍게 경의선 나들이,서울화력발전소(당인리발전소),마포구,마포구 토정로 56,3시간,2,126.916417,126.916417,,,,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013151/jpg/2013151_001_thumb.jpg
225,,서울의 야경명소,남대문 지하보도,중구,중구 세종대로 50,3시간,3,126.97624,126.97624,,,02-778-0001,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2014013/jpg/2014013_001_thumb.jpg
225,,서울의 야경명소,남대문교회,중구,중구 퇴계로 6,3시간,2,126.974803,126.974803,,,02-753-6343,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013045/jpg/2013045_009_thumb.jpg
225,,서울의 야경명소,서울역 고가도로,중구,중구 통일로 1 일대,3시간,1,126.971671,126.971671,,,02-3407-3500,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/20171016154214_01_thumb.jpg
225,,서울의 야경명소,서울역광장,용산구,용산구 한강대로 405,3시간,0,126.971584,126.971584,,,,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013143/jpg/2013143_001_thumb.jpg
224,,청계천을 따라 걸으며 느끼는 가을의 정취,서울풍물시장,동대문구,동대문구 천호대로4길 21,3시간,4,127.025501,127.025501,,,02-2232-3367,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013150/jpg/2013150_018_thumb.jpg
224,,청계천을 따라 걸으며 느끼는 가을의 정취,청계천 고가도로 존치 기념물,동대문구,서울 동대문구 청계천로7길 2,3시간,3,127.019417,127.019417,,,,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013248/jpg/2013248_001_thumb.jpg
224,,청계천을 따라 걸으며 느끼는 가을의 정취,동대문패션타운,중구,중구 장충단로 263,3시간,1,127.0086869,127.0086869,,,02-6262-4156,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013077/jpg/2013077_012_thumb.jpg
224,,청계천을 따라 걸으며 느끼는 가을의 정취,청계천 헌책방거리,중구,중구 청계천로 274 평화시장 내,3시간,0,127.007719,127.007719,,,02-2275-5886,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013073/jpg/2013073_007_thumb.jpg
224,,청계천을 따라 걸으며 느끼는 가을의 정취,신평화시장,중구,중구 청계천로 298,3시간,2,127.01107,127.01107,,,02-2253-0714,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013261/jpg/2013261_012_thumb.jpg
243,,민주주의를 위한 함성 4.19 혁명,윤극영 가옥,강북구,강북구 인수봉로84길 5,3시간,1,127.0109,127.0109,,,,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013206/jpg/2013206_007_thumb.jpg
243,,민주주의를 위한 함성 4.19 혁명,국립 4.19민주묘지,강북구,강북구 4.19로8길 17,3시간,0,127.008147,127.008147,,,02-996-0419,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013026/jpg/2013026_013_thumb.jpg
242,,쌍문동 역사 문학투어,이마트 창동점,도봉구,도봉구 노해로65길 4,3시간,0,127.047326,127.047326,,,02-901-1234,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013211/jpg/2013211_006_thumb.jpg
242,,쌍문동 역사 문학투어,남정현 가옥,도봉구,도봉구 도봉로109길 19-4,3시간,1,127.031972,127.031972,,,,,,,,http://futureheritage.seoul.go.kr/HeritageImg/heritage/2013053/jpg/2013053_001_thumb.jpg
