category_id,name,district,address,latitude,longitude,work_time,price,phone_number,image_url,SNS url,page_url,description,책방 구분명
,1984,마포구,마포구 동교로 194 혜원빌딩,37.55738472,126.9228861,,무료,02-325-1984,,https://www.instagram.com/1984store,,,새책방      
,21세기문고,강남구,강남구 남부순환로359길 31,37.48683261,127.0355653,,무료,02-3463-1880  ,,,,,새책방      
,C&S서점,강남구,강남구 남부순환로 2806 군인공제회관 지하1층,37.48910918,127.0529141,,무료,02-2190-2178,,,,,새책방      
,Foreign book store,용산구,용산구 녹사평대로 208,37.53624637,126.9872269,,무료,02-793-8249,,https://www.instagram.com/itaewon_foreign_bookstore,,,헌책방      
,PRNT,동작구,동작구 만양로1길 1 1층,37.50573295,126.9467369,,무료,070-4177-0021,,https://www.instagram.com/prntseoul,https://prntseoul.com,,새책방      
,SK문고,강북구,강북구 솔샘로 215 2층,37.6202008,127.0166087,,무료,02-945-1959,,,,,새책방      
,YES24 중고매장(목동점),양천구,양천구 오목로 325 지하 1층,37.52510741,126.873627,,무료,1566-4295,,,,,헌책방      
,YES24(강서NC점),강서구,"강서구 강서로56길 17 NC백화점 강서점 8, 9층",37.55993353,126.8404988,,무료,,,,,,새책방      
,가가77페이지,마포구,마포구 망원로 74-1 지하1층,37.55726128,126.9051793,,무료,,,https://www.instagram.com/gaga77page,http://77page.com,,새책방      
,가람프라자,금천구,금천구 시흥대로41길 95,37.45066173,126.9000346,,무료,02-891-7474,,,,,새책방      
,감성인간서점,성북구,성북구 돌곶이로 41가길 14-10,37.61868437,127.0446506,,무료,,,https://www.instagram.com/gamseongingan,https://blog.naver.com/dnfladydgk,,새책방      
,갑을문고,성북구,성북구 화랑로11길 26,37.60330001,127.0421083,,무료,0507-1320-0002,,https://www.instagram.com/gapeul_bookstore,,,새책방      
,강동헌책방,강동구,강동구 구천면로 257,37.54327293,127.1316483,,무료,02-471-0272,,,,,헌책방      
,강서책서점,양천구,양천구 목동중앙남로 28,37.53647642,126.8673893,,무료,02-651-1085,,,,,새책방      
,개똥이네(가양점),강서구,강서구 양천로 431 지하 1층,37.56426405,126.8499602,,무료,02-2658-2982 ,,,,,헌책방      
,개똥이네(노원점),노원구,노원구 동일로217가길 17 2층,37.6533222,127.0593697,,무료,02-951-2989,,,,,헌책방      
,개똥이네(영등포점),영등포구,영등포구 여의대방로62길 2 5층,37.51381602,126.9266765,,무료,02-822-2989,,,,,헌책방      
,개똥이네(잠실점),송파구,송파구 올림픽로35길 93 지하1층 상가 118호,37.51773252,127.1044332,,무료,02-445-2989,,,,,헌책방      
,개롱서적,송파구,송파구 오금로 414 명문빌딩 지하1층,37.49720786,127.1359163,,무료,02-403-1603,,,,,새책방      
,거목서점,서초구,서초구 신반포로 213 지하 9호,37.50727104,127.0072709,,무료,02-3476-1585,,,,,새책방      
,거북서점,노원구,노원구 상계로 115,37.6576976,127.0674937,,무료,,,,,,헌책방      
,건영문고,노원구,노원구 섬밭로 258 지하 1층,37.63910978,127.0649151,,무료,02-949-2148,,,,,새책방      
,경일서점,성동구,성동구 성수일로 33 지하1층,37.54364277,127.0491876,,무료,02-497-5670,,,,,새책방      
,경희문고,동대문구,동대문구 회기로 113,37.59164957,127.0493102,,무료,02-957-7799,,https://www.instagram.com/khbook_seoul,,,새책방      
,계성문고,성북구,성북구 길음로 33 2층 22호,37.60504925,127.0220094,,무료,02-943-5398,,https://www.facebook.com/Gyeseongbooks,,,새책방      
,고래서점,용산구,용산구 한강대로 307,37.54572765,126.9715375,,무료,02-717-8346,,,http://www.bookgore.com/,,새책방      
,고려서점,강서구,강서구 강서로47길 26 지하1층,37.552876,126.8347796,,무료,02-2663-3181,,,,,새책방      
,고시책사랑,관악구,관악구 호암로26길 27,37.4706007,126.9352363,,무료,02-871-5550,,,,,헌책방      
,고요서사,용산구,용산구 신흥로15길 18-4,37.54437666,126.9858576,,무료,0507-1410-4226,,https://www.instagram.com/goyo_bookshop,http://blog.naver.com/goyo_bookshop,,새책방      
,곰서점,동작구,동작구 양녕로 186 지하1층,37.49791392,126.9435904,,무료,02-821-5672,,,,,새책방      
,공간과몰입,종로구,종로구 낙산길 19,37.58054788,127.0055969,,무료,,,https://www.instagram.com/gggmolip/,https://blog.naver.com/gggmolip,,새책방      
,공상온도,마포구,마포구 동교로 23길40 지하1층,37.55765748,126.9198091,,무료,0507-1404-0247,,https://www.instagram.com/gongsangondo,http://www.gongsangondo.com,,새책방      
,공손서점,강동구,강동구 동남로75길 19 지하 1층,37.55413021,127.1551777,,무료,02-427-3888,,,,,새책방      
,공손서점,광진구,광진구 아차산로70길 17-17,37.54169929,127.1025258,,무료,02-444-1570,,,,,새책방      
,공신서점,양천구,양천구 신정로13길 22,37.51142543,126.8431316,,무료,02-2699-4002,,,,,새책방      
,공씨책방(성수점),성동구,성동구 광나루로 130 106호-라,37.55097877,127.0447207,,무료,,,,,,헌책방      
