,category_id,course_name,duration_time,order_number,name,district,address,price,image_url,page_url,description,latitude,longitude,phone_number,검색어
0,,시장부터 식사까지 경험하는 서울시민의 일상,3시간,3,해창양복점,중구,중구 남대문로7길 33,,,,,37.56379583,126.980017,02-776-1667,중구 해창양복점
1,,시장부터 식사까지 경험하는 서울시민의 일상,3시간,0,한영양복점,중구,중구 퇴계로20길 2,,,,,37.55971637,126.9854347,02-2266-0870,중구 한영양복점
2,,시장부터 식사까지 경험하는 서울시민의 일상,3시간,1,상동교회(구 새로나백화점),중구,중구 남대문로 30,,,,,37.56083481,126.9790477,,중구 상동교회(구 새로나백화점)
3,,시장부터 식사까지 경험하는 서울시민의 일상,3시간,4,라 칸티나,중구,중구 을지로 19,,,,,37.56630645,126.9799571,02-777-2580,중구 라 칸티나
4,,시장부터 식사까지 경험하는 서울시민의 일상,3시간,2,남대문시장,중구,중구 남대문시장4길 21,,,,,37.55918636,126.9776537,02-753-2805,중구 남대문시장
5,,두 손 두 발 가볍게 경의선 나들이,3시간,3,홍대 앞 서교 365,마포구,마포구 홍익로3길 1,,,,,37.55426481,126.9224272,02-3141-1084,마포구 홍대 앞 서교 365
6,,두 손 두 발 가볍게 경의선 나들이,3시간,0,경춘선 폐철도노선,노원구,노원구 공릉로55길 88 인근,,,,,37.63204326,127.0679518,,노원구 경춘선 폐철도노선
7,,두 손 두 발 가볍게 경의선 나들이,3시간,1,연남동 기사식당 거리,마포구,서울특별시 마포구 연남로 25,,,,,37.56189807,126.9219039,,마포구 연남동 기사식당 거리
8,,두 손 두 발 가볍게 경의선 나들이,3시간,2,서울화력발전소(당인리발전소),마포구,마포구 토정로 56,,,,,37.54394733,126.9196472,,마포구 서울화력발전소(당인리발전소)
9,,서울의 야경명소,3시간,3,남대문 지하보도,중구,중구 세종대로 50,,,,,37.56092735,126.9762484,,중구 남대문 지하보도
10,,서울의 야경명소,3시간,2,남대문교회,중구,중구 퇴계로 6,,,,,37.55600486,126.9745814,02-753-6343,중구 남대문교회
11,,서울의 야경명소,3시간,1,서울역 고가도로,중구,중구 통일로 1 일대,,,,,37.55605818,126.9721159,,중구 서울역 고가도로
12,,서울의 야경명소,3시간,0,서울역광장,용산구,용산구 한강대로 405,,,,,37.5548376,126.9717326,,용산구 서울역광장
13,,청계천을 따라 걸으며 느끼는 가을의 정취,3시간,4,서울풍물시장,동대문구,동대문구 천호대로4길 21,,,,,37.57271319,127.0255029,02-2232-3367,동대문구 서울풍물시장
14,,청계천을 따라 걸으며 느끼는 가을의 정취,3시간,3,청계천 고가도로 존치 기념물,성동구,서울특별시 성동구 왕십리도선동 291-2,,,,,37.57022304,127.0278037,,성동구 청계천 고가도로 존치 기념물
15,,청계천을 따라 걸으며 느끼는 가을의 정취,3시간,1,동대문패션타운,중구,중구 장충단로 263,,,,,37.56811569,127.0084727,02-6262-4156,중구 동대문패션타운
16,,청계천을 따라 걸으며 느끼는 가을의 정취,3시간,0,청계천 헌책방거리,중구,중구 청계천로 274 평화시장 내,,,,,37.56942586,127.0080476,02-2275-5886,중구 청계천 헌책방거리
17,,청계천을 따라 걸으며 느끼는 가을의 정취,3시간,2,신평화시장,중구,중구 청계천로 298,,,,,37.56945382,127.0110696,02-2253-0714,중구 신평화시장
18,,민주주의를 위한 함성 4.19 혁명,3시간,1,윤극영 가옥,강북구,강북구 인수봉로84길 5,,,,,37.64647106,127.0108817,,강북구 윤극영 가옥
19,,민주주의를 위한 함성 4.19 혁명,3시간,0,국립 4.19민주묘지,강북구,강북구 4.19로8길 17,,,,,37.64839067,127.0090713,02-996-0419,강북구 국립 4.19민주묘지
20,,쌍문동 역사 문학투어,3시간,0,이마트 창동점,도봉구,도봉구 노해로65길 4,,,,,37.65163612,127.0466993,,도봉구 이마트 창동점
21,,쌍문동 역사 문학투어,3시간,1,남정현 가옥,도봉구,도봉구 도봉로109길 19-4,,,,,37.64671275,127.0319622,,도봉구 남정현 가옥
22,,쌍문동 역사 문학투어,3시간,2,함석헌 가옥,도봉구,도봉구 도봉로123길 33-6,,,,,37.65296162,127.0347964,,도봉구 함석헌 가옥
23,,책과 커피가 함께하는 신촌의 가을 감성,3시간,0,독다방(구 독수리다방),서대문구,서대문구 연세로 36,,,,,37.55878392,126.9372403,,서대문구 독다방(구 독수리다방)
24,,책과 커피가 함께하는 신촌의 가을 감성,3시간,1,미네르바,서대문구,서대문구 명물길 18,,,,,37.55768899,126.9378519,02-3147-1327,서대문구 미네르바
25,,책과 커피가 함께하는 신촌의 가을 감성,3시간,2,공씨책방,서대문구,서울특별시 서대문구 신촌로 55-2,,,,,37.5568761,126.932749,02-336-3058,서대문구 공씨책방
26,,책과 커피가 함께하는 신촌의 가을 감성,3시간,3,홍익문고,서대문구,서대문구 연세로 2,,,,,37.55578538,126.9370438,02-392-2020,서대문구 홍익문고
27,,"그 시절 서울, 추억을 파는 극장으로 초대합니다.",3시간,1,세실극장,중구,중구 세종대로19길 16,,,,,37.56672262,126.976533,02-751-1500,중구 세실극장
28,,"그 시절 서울, 추억을 파는 극장으로 초대합니다.",3시간,2,삼일로 창고극장,중구,중구 삼일대로9길 12,,,,,37.56347814,126.9879846,02-3789-9640,중구 삼일로 창고극장
29,,"그 시절 서울, 추억을 파는 극장으로 초대합니다.",3시간,3,허리우드극장,종로구,종로구 삼일대로 428,,,,,37.57276352,126.9879025,02-3672-4232,종로구 허리우드극장
30,,"그 시절 서울, 추억을 파는 극장으로 초대합니다.",3시간,0,정동극장,중구,중구 정동길 43,,,,,37.56593364,126.9728444,02-751-1500,중구 정동극장
31,,과거도 지금도 핫플장소! 용산 이태원 투어,3시간,2,한신옹기,용산구,서울 용산구 신흥로 7,,,,,37.53915265,126.9865042,02-794-3687,용산구 한신옹기
32,,과거도 지금도 핫플장소! 용산 이태원 투어,3시간,4,해방촌 108계단,용산구,용산구 신흥로36길 일대,,,,,37.5416204,126.9873653,,용산구 해방촌 108계단
33,,과거도 지금도 핫플장소! 용산 이태원 투어,3시간,3,해방촌,용산구,용산구 신흥로11나길 22 일대,,,,,37.54391854,126.9854718,02-772-9595,용산구 해방촌
34,,과거도 지금도 핫플장소! 용산 이태원 투어,3시간,1,포린북스토어,용산구,용산구 녹사평대로 208,,,,,37.53624637,126.9872269,02-793-8249,용산구 포린북스토어
35,,과거도 지금도 핫플장소! 용산 이태원 투어,3시간,0,이태원 앤틱 가구거리,용산구,용산구 보광로 90,,,,,37.53119777,126.9956344,,용산구 이태원 앤틱 가구거리
36,,여의도 도심 산책,3시간,1,금성부동산,영등포구,영등포구 63로 45,,,,,37.52135273,126.9373261,02-782-1100,영등포구 금성부동산
37,,여의도 도심 산책,3시간,0,윤중제,영등포구,영등포구 여의동로,,,,,37.51778585,126.9371645,,영등포구 윤중제
38,,여의도 도심 산책,3시간,5,국회의사당,영등포구,영등포구 의사당대로 1,,,,,37.53291197,126.9164039,02-6788-2114,영등포구 국회의사당
39,,여의도 도심 산책,3시간,4,여의도공원,영등포구,서울특별시 영등포구 여의도동 여의공원로 68 여의도공원관리사무소,,,,,37.52680882,126.9222841,02-761-4078,영등포구 여의도공원
40,,여의도 도심 산책,3시간,3,여의도 지하벙커,영등포구,영등포구 국제금융로 (앞도로의 중앙화단),,,,,37.52213586,126.9306624,02-2124-8800,영등포구 여의도 지하벙커
